,Date,open,close
0,2006-06-22,35.0866030619037,35.56
1,2006-06-23,36.447816916721024,36.29
2,2006-06-26,36.6741351759879,36.54
3,2006-06-27,36.69605612355884,36.27
4,2006-06-28,36.37270824341822,36.57
5,2006-06-29,36.4361980117671,38.89
6,2006-06-30,39.213581244947456,39.04
7,2006-07-03,39.74701357466064,40.11
8,2006-07-05,39.51312,39.45
9,2006-07-06,39.60835164835165,39.49
10,2006-07-07,39.3366592382496,38.95
11,2006-07-10,38.93517114914426,38.73
12,2006-07-11,38.69421932327762,38.71
13,2006-07-12,39.14290401968827,38.48
14,2006-07-13,37.74702980913574,36.8
15,2006-07-14,36.88022593960461,36.32
16,2006-07-17,36.52802389909272,35.66
17,2006-07-18,36.22400354295837,35.64
18,2006-07-19,36.03285593220339,37.24
19,2006-07-20,37.15859696157284,35.32
20,2006-07-21,35.26922540125611,33.92
21,2006-07-24,34.18482790270767,34.39
22,2006-07-25,34.92771945302161,35.78
23,2006-07-26,34.705039053782635,35.36
24,2006-07-27,35.782055353902,34.78
25,2006-07-28,34.78,34.78
26,2006-07-31,35.47241341755609,36.23
27,2006-08-01,35.43494047619047,35.79
28,2006-08-02,36.268564036222514,36.6
29,2006-08-03,36.48271084337349,36.68
30,2006-08-04,37.0916114790287,35.75
31,2006-08-07,36.13532229965156,36.23
32,2006-08-08,36.22284377089369,35.41
33,2006-08-09,34.99337644959857,35.38
34,2006-08-10,35.01265361242404,35.06
35,2006-08-11,35.0702434542949,34.36
36,2006-08-14,34.16877627276973,33.79
37,2006-08-15,34.16348340154616,34.7
38,2006-08-16,35.336531511679155,35.81
39,2006-08-17,35.74500671742052,35.24
40,2006-08-18,35.64523946784923,35.59
41,2006-08-21,35.58796378091873,35.73
42,2006-08-22,35.70939791157521,35.52
43,2006-08-23,35.685867749943576,34.96
44,2006-08-24,35.077699115044254,34.77
45,2006-08-25,35.21413405308142,35.08
46,2006-08-28,34.78517571884984,34.58
47,2006-08-29,34.8842188559801,34.9
48,2006-08-30,34.99294827979039,34.63
49,2006-08-31,34.84954186413902,34.96
50,2006-09-01,34.97821872227152,35.57
51,2006-09-05,35.75196235395933,36.47
52,2006-09-06,36.32955902004455,35.43
53,2006-09-07,34.882021349080176,34.74
54,2006-09-08,34.50830145194745,34.24
55,2006-09-11,32.93163235294118,32.19
56,2006-09-12,32.3774149659864,32.48
57,2006-09-13,32.6960552407932,33.43
58,2006-09-14,33.473796610169494,32.59
59,2006-09-15,32.608549747048905,32.83
60,2006-09-18,33.08325195543968,33.36
61,2006-09-19,33.23443881245474,32.76
62,2006-09-20,32.73379672611776,32.37
63,2006-09-21,32.8295321637427,32.45
64,2006-09-22,32.23863150037323,31.78
65,2006-09-25,31.243935045317222,31.41
66,2006-09-26,31.640758454106283,32.74
67,2006-09-27,32.81769696969697,32.62
68,2006-09-28,32.91351874244256,32.7
69,2006-09-29,32.83860802319961,32.72
70,2006-10-02,32.89349141059763,32.68
71,2006-10-03,32.06588101840181,31.37
72,2006-10-04,31.552552552552548,31.6
73,2006-10-05,32.49881093935791,33.25
74,2006-10-06,32.88249584026622,33.27
75,2006-10-09,33.660455292184935,33.7
76,2006-10-10,33.5314547537228,34.52
77,2006-10-11,34.399078341013826,34.32
78,2006-10-12,34.47690933452434,35.41
79,2006-10-13,35.34464601769912,35.74
80,2006-10-16,36.29740652690728,36.59
81,2006-10-17,36.205553862894455,36.34
82,2006-10-18,36.71037249283668,35.88
83,2006-10-19,36.55808061420345,37.08
84,2006-10-20,36.80402266288952,36.29
85,2006-10-23,36.00526554404146,36.63
86,2006-10-24,36.5393889004365,38.05
87,2006-10-25,38.05484204005781,38.3
88,2006-10-26,38.26652705784782,38.14
89,2006-10-27,38.05697834235735,37.97
90,2006-10-30,37.95471971446568,37.67
91,2006-10-31,37.29859641728135,37.52
92,2006-11-01,37.91538956857695,36.84
93,2006-11-02,36.931376734258265,37.05
94,2006-11-03,37.26812711148649,37.45
95,2006-11-06,37.47309385382061,38.09
96,2006-11-07,38.06512230817479,37.82
97,2006-11-08,37.98352386934674,37.77
98,2006-11-09,37.95832473695069,38.33
