,Date,close
0,2003-04-16,326.45
1,2003-04-17,327.15
2,2003-04-18,325.95
3,2003-04-21,333.55
4,2003-04-22,332.95
5,2003-04-23,331.25
6,2003-04-24,334.45
7,2003-04-25,333.25
8,2003-04-28,333.85
9,2003-04-29,334.25
10,2003-04-30,338.55
11,2003-05-01,341.75
12,2003-05-02,340.95
13,2003-05-05,342.25
14,2003-05-06,344.25
15,2003-05-07,342.05
16,2003-05-08,348.65
17,2003-05-09,348.55
18,2003-05-12,351.25
19,2003-05-13,349.85
20,2003-05-14,352.45
21,2003-05-15,351.95
22,2003-05-16,354.75
23,2003-05-19,366.25
24,2003-05-20,367.95
25,2003-05-21,371.55
26,2003-05-22,367.05
27,2003-05-23,368.75
28,2003-05-26,370.35
29,2003-05-27,366.25
30,2003-05-28,365.05
31,2003-05-29,369.25
32,2003-05-30,364.45
33,2003-06-02,365.85
34,2003-06-03,365.25
35,2003-06-04,361.28
36,2003-06-05,368.75
37,2003-06-06,363.75
38,2003-06-09,361.85
39,2003-06-10,352.15
40,2003-06-11,355.65
41,2003-06-12,353.45
42,2003-06-13,356.65
43,2003-06-16,359.15
44,2003-06-17,363.35
45,2003-06-18,357.35
46,2003-06-19,361.35
47,2003-06-20,357.38
48,2003-06-23,353.0
49,2003-06-24,346.8
50,2003-06-25,347.4
51,2003-06-26,344.15
52,2003-06-27,345.25
53,2003-06-30,346.4
54,2003-07-01,350.75
55,2003-07-02,351.5
56,2003-07-03,351.15
57,2003-07-04,350.85
58,2003-07-07,348.25
59,2003-07-08,344.45
60,2003-07-09,344.55
61,2003-07-10,345.45
62,2003-07-11,345.2
63,2003-07-14,347.3
64,2003-07-15,342.15
65,2003-07-16,343.55
66,2003-07-17,344.75
67,2003-07-18,347.25
68,2003-07-21,351.75
69,2003-07-22,350.75
70,2003-07-23,359.65
71,2003-07-24,361.65
72,2003-07-25,362.75
73,2003-07-28,365.15
74,2003-07-29,361.85
75,2003-07-30,356.35
76,2003-07-31,354.35
77,2003-08-01,346.15
78,2003-08-04,349.45
79,2003-08-05,352.05
80,2003-08-06,351.75
81,2003-08-07,352.85
82,2003-08-08,356.75
83,2003-08-11,361.85
84,2003-08-12,358.45
85,2003-08-13,362.7
86,2003-08-14,365.95
87,2003-08-15,363.75
88,2003-08-18,358.35
89,2003-08-19,362.05
90,2003-08-20,366.25
91,2003-08-21,360.75
92,2003-08-22,362.95
93,2003-08-25,361.25
94,2003-08-26,364.45
95,2003-08-27,372.55
96,2003-08-28,369.65
97,2003-08-29,375.55
98,2003-09-01,375.55
99,2003-09-02,371.95
100,2003-09-03,373.85
101,2003-09-04,373.35
102,2003-09-05,377.35
103,2003-09-08,375.25
104,2003-09-09,382.65
105,2003-09-10,380.45
106,2003-09-11,380.15
107,2003-09-12,375.25
108,2003-09-15,374.05
109,2003-09-16,373.25
110,2003-09-17,376.75
111,2003-09-18,376.35
112,2003-09-19,381.85
113,2003-09-22,387.1
114,2003-09-23,384.75
115,2003-09-24,388.85
116,2003-09-25,385.35
117,2003-09-26,380.85
118,2003-09-29,382.25
119,2003-09-30,385.35
120,2003-10-01,384.75
121,2003-10-02,382.85
122,2003-10-03,369.55
123,2003-10-06,372.95
124,2003-10-07,376.45
125,2003-10-08,375.25
126,2003-10-09,370.05
127,2003-10-10,373.05
128,2003-10-13,374.75
129,2003-10-14,375.25
130,2003-10-15,372.95
131,2003-10-16,371.65
132,2003-10-17,371.65
133,2003-10-20,373.35
134,2003-10-21,380.75
135,2003-10-22,385.85
136,2003-10-23,384.25
137,2003-10-24,388.55
138,2003-10-27,387.95
139,2003-10-28,382.85
140,2003-10-29,386.5
141,2003-10-30,383.55
142,2003-10-31,384.25
143,2003-11-03,376.65
144,2003-11-04,379.55
145,2003-11-05,381.35
146,2003-11-06,379.95
147,2003-11-07,383.05
148,2003-11-10,385.95
149,2003-11-11,387.95
150,2003-11-12,394.05
151,2003-11-13,394.65
152,2003-11-14,397.55
153,2003-11-17,391.05
154,2003-11-18,398.75
155,2003-11-19,395.05
156,2003-11-20,394.45
157,2003-11-21,396.05
158,2003-11-24,391.48
159,2003-11-25,391.25
160,2003-11-26,396.65
161,2003-11-27,395.25
162,2003-11-28,398.15
163,2003-12-01,402.25
164,2003-12-02,403.25
165,2003-12-03,404.75
166,2003-12-04,402.75
167,2003-12-05,406.35
168,2003-12-08,406.75
169,2003-12-09,408.25
170,2003-12-10,405.45
171,2003-12-11,404.95
172,2003-12-12,408.85
173,2003-12-15,409.75
174,2003-12-16,407.25
175,2003-12-17,412.55
176,2003-12-18,410.75
177,2003-12-19,409.35
178,2003-12-22,410.05
179,2003-12-23,410.75
180,2003-12-24,412.05
181,2003-12-25,412.95
182,2003-12-26,412.25
183,2003-12-29,414.58
184,2003-12-30,416.25
185,2003-12-31,415.45
186,2004-01-01,415.85
187,2004-01-02,415.85
188,2004-01-05,423.65
189,2004-01-06,422.35
190,2004-01-07,420.55
191,2004-01-08,423.88
192,2004-01-09,426.38
193,2004-01-12,424.45
194,2004-01-13,424.15
195,2004-01-14,419.95
196,2004-01-15,408.88
197,2004-01-16,406.75
198,2004-01-19,407.25
199,2004-01-20,412.85
200,2004-01-21,410.55
201,2004-01-22,409.35
202,2004-01-23,408.08
203,2004-01-26,404.05
204,2004-01-27,410.35
205,2004-01-28,410.35
206,2004-01-29,399.35
207,2004-01-30,402.45
208,2004-02-02,398.35
209,2004-02-03,399.65
210,2004-02-04,400.75
211,2004-02-05,396.95
212,2004-02-06,403.35
213,2004-02-09,406.75
214,2004-02-10,406.35
215,2004-02-11,411.15
216,2004-02-12,411.85
217,2004-02-13,410.15
218,2004-02-16,411.65
219,2004-02-17,415.55
220,2004-02-18,410.95
221,2004-02-19,409.98
222,2004-02-20,397.55
223,2004-02-23,398.65
224,2004-02-24,403.85
225,2004-02-25,396.05
226,2004-02-26,395.05
227,2004-02-27,396.15
228,2004-03-01,399.55
229,2004-03-02,393.05
230,2004-03-03,393.35
231,2004-03-04,393.05
232,2004-03-05,401.25
233,2004-03-08,401.45
234,2004-03-09,402.75
235,2004-03-10,400.15
236,2004-03-11,402.93
237,2004-03-12,395.25
238,2004-03-15,399.48
239,2004-03-16,402.25
240,2004-03-17,407.35
241,2004-03-18,411.35
242,2004-03-19,412.35
243,2004-03-22,417.25
244,2004-03-23,419.75
245,2004-03-24,415.55
246,2004-03-25,416.25
247,2004-03-26,422.35
248,2004-03-29,417.85
249,2004-03-30,420.85
250,2004-03-31,426.45
251,2004-04-01,425.9
252,2004-04-02,420.65
253,2004-04-05,415.65
254,2004-04-06,419.45
255,2004-04-07,423.05
256,2004-04-08,420.05
257,2004-04-09,420.05
258,2004-04-12,418.65
259,2004-04-13,406.65
260,2004-04-14,400.55
261,2004-04-15,399.35
262,2004-04-16,400.55
263,2004-04-19,401.05
264,2004-04-20,394.85
265,2004-04-21,390.05
266,2004-04-22,392.95
267,2004-04-23,395.05
268,2004-04-26,396.35
269,2004-04-27,398.75
270,2004-04-28,385.65
271,2004-04-29,387.85
272,2004-04-30,386.75
273,2004-05-03,387.15
274,2004-05-04,392.65
275,2004-05-05,393.25
276,2004-05-06,387.75
277,2004-05-07,378.75
278,2004-05-10,378.75
279,2004-05-11,377.85
280,2004-05-12,378.13
281,2004-05-13,374.85
282,2004-05-14,376.65
283,2004-05-17,379.15
284,2004-05-18,377.15
285,2004-05-19,382.45
286,2004-05-20,379.65
287,2004-05-21,384.35
288,2004-05-24,385.55
289,2004-05-25,388.65
290,2004-05-26,388.75
291,2004-05-27,394.75
292,2004-05-28,393.35
293,2004-05-31,395.55
294,2004-06-01,394.65
295,2004-06-02,391.55
296,2004-06-03,388.35
297,2004-06-04,389.95
298,2004-06-07,393.75
299,2004-06-08,391.35
300,2004-06-09,384.65
301,2004-06-10,386.05
302,2004-06-11,384.55
303,2004-06-14,383.55
304,2004-06-15,389.05
305,2004-06-16,384.65
306,2004-06-17,388.88
307,2004-06-18,394.85
308,2004-06-21,393.85
309,2004-06-22,394.95
310,2004-06-23,395.75
311,2004-06-24,402.15
312,2004-06-25,401.55
313,2004-06-28,400.88
314,2004-06-29,392.55
315,2004-06-30,394.25
316,2004-07-01,395.95
317,2004-07-02,397.95
318,2004-07-05,398.25
319,2004-07-06,392.75
320,2004-07-07,402.45
321,2004-07-08,407.95
322,2004-07-09,407.65
323,2004-07-12,407.95
324,2004-07-13,401.65
325,2004-07-14,405.45
326,2004-07-15,404.05
327,2004-07-16,406.65
328,2004-07-19,405.65
329,2004-07-20,400.15
330,2004-07-21,396.75
331,2004-07-22,395.05
332,2004-07-23,390.15
333,2004-07-26,388.95
334,2004-07-27,387.25
335,2004-07-28,387.85
336,2004-07-29,387.55
337,2004-07-30,391.05
338,2004-08-02,392.15
339,2004-08-03,394.05
340,2004-08-04,391.65
341,2004-08-05,392.85
342,2004-08-06,399.75
343,2004-08-09,400.25
344,2004-08-10,398.65
345,2004-08-11,395.45
346,2004-08-12,393.75
347,2004-08-13,398.95
348,2004-08-16,402.25
349,2004-08-17,405.05
350,2004-08-18,404.55
351,2004-08-19,406.65
352,2004-08-20,412.75
353,2004-08-23,409.95
354,2004-08-24,403.15
355,2004-08-25,406.55
356,2004-08-26,406.55
357,2004-08-27,403.25
358,2004-08-30,408.05
359,2004-08-31,409.85
360,2004-09-01,408.85
361,2004-09-02,406.35
362,2004-09-03,401.05
363,2004-09-06,402.55
364,2004-09-07,397.75
365,2004-09-08,399.65
366,2004-09-09,398.95
367,2004-09-10,402.75
368,2004-09-13,403.95
369,2004-09-14,405.43
370,2004-09-15,405.15
371,2004-09-16,404.53
372,2004-09-17,405.65
373,2004-09-20,405.05
374,2004-09-21,409.25
375,2004-09-22,407.35
376,2004-09-23,410.13
377,2004-09-24,407.83
378,2004-09-27,408.63
379,2004-09-28,412.25
380,2004-09-29,412.95
381,2004-09-30,418.25
382,2004-10-01,419.47
383,2004-10-04,414.05
384,2004-10-05,418.75
385,2004-10-06,417.88
386,2004-10-07,417.65
387,2004-10-08,422.78
388,2004-10-11,422.05
389,2004-10-12,415.25
390,2004-10-13,416.25
391,2004-10-14,417.75
392,2004-10-15,418.8
393,2004-10-18,416.25
394,2004-10-19,419.85
395,2004-10-20,424.13
396,2004-10-21,423.75
397,2004-10-22,424.23
398,2004-10-25,428.45
399,2004-10-26,426.85
400,2004-10-27,424.25
401,2004-10-28,424.35
402,2004-10-29,428.55
403,2004-11-01,427.55
404,2004-11-02,421.55
405,2004-11-03,426.85
406,2004-11-04,429.55
407,2004-11-05,433.55
408,2004-11-08,431.95
409,2004-11-09,435.15
410,2004-11-10,434.55
411,2004-11-11,434.88
412,2004-11-12,437.85
413,2004-11-15,436.75
414,2004-11-16,439.45
415,2004-11-17,444.65
416,2004-11-18,442.95
417,2004-11-19,447.05
418,2004-11-22,448.94
