,Date,close
0,2003-04-16,3.9382
1,2003-04-17,3.9558
2,2003-04-18,3.9558
3,2003-04-21,3.9811
4,2003-04-22,3.9636
5,2003-04-23,3.9753
6,2003-04-24,3.9189
7,2003-04-25,3.888
8,2003-04-28,3.9015
9,2003-04-29,3.9267
10,2003-04-30,3.8359
11,2003-05-01,3.8397
12,2003-05-02,3.919
13,2003-05-05,3.8841
14,2003-05-06,3.7839
15,2003-05-07,3.675
16,2003-05-08,3.6807
17,2003-05-09,3.6796
18,2003-05-12,3.6419
19,2003-05-13,3.6025
20,2003-05-14,3.5204
21,2003-05-15,3.5297
22,2003-05-16,3.4185
23,2003-05-19,3.485
24,2003-05-20,3.3542
25,2003-05-21,3.3963
26,2003-05-22,3.3138
27,2003-05-23,3.3354
28,2003-05-26,3.3317
29,2003-05-27,3.4106
30,2003-05-28,3.4235
31,2003-05-29,3.3352
32,2003-05-30,3.3699
33,2003-06-02,3.4085
34,2003-06-03,3.3293
35,2003-06-04,3.2927
36,2003-06-05,3.342
37,2003-06-06,3.351
38,2003-06-09,3.2758
39,2003-06-10,3.1903
40,2003-06-11,3.2101
41,2003-06-12,3.163
42,2003-06-13,3.1121
43,2003-06-16,3.1716
44,2003-06-17,3.2605
45,2003-06-18,3.3614
46,2003-06-19,3.3374
47,2003-06-20,3.3648
48,2003-06-23,3.3113
49,2003-06-24,3.2489
50,2003-06-25,3.4035
51,2003-06-26,3.5416
52,2003-06-27,3.5415
53,2003-06-30,3.5133
54,2003-07-01,3.5471
55,2003-07-02,3.5358
56,2003-07-03,3.6607
57,2003-07-04,3.6474
58,2003-07-07,3.7315
59,2003-07-08,3.7143
60,2003-07-09,3.6798
61,2003-07-10,3.655
62,2003-07-11,3.6265
63,2003-07-14,3.724
64,2003-07-15,3.9807
65,2003-07-16,3.918
66,2003-07-17,3.92
67,2003-07-18,3.9989
68,2003-07-21,4.2105
69,2003-07-22,4.1223
70,2003-07-23,4.1084
71,2003-07-24,4.1646
72,2003-07-25,4.175
73,2003-07-28,4.2802
74,2003-07-29,4.4381
75,2003-07-30,4.307
76,2003-07-31,4.4055
77,2003-08-01,4.3834
78,2003-08-04,4.2833
79,2003-08-05,4.3899
80,2003-08-06,4.2674
81,2003-08-07,4.2168
82,2003-08-08,4.2694
83,2003-08-11,4.353
84,2003-08-12,4.4256
85,2003-08-13,4.5602
86,2003-08-14,4.4887
87,2003-08-15,4.5285
88,2003-08-18,4.4572
89,2003-08-19,4.3609
90,2003-08-20,4.4355
91,2003-08-21,4.4751
92,2003-08-22,4.4732
93,2003-08-25,4.5249
94,2003-08-26,4.4733
95,2003-08-27,4.5349
96,2003-08-28,4.4141
97,2003-08-29,4.4636
98,2003-09-01,4.4577
99,2003-09-02,4.5993
100,2003-09-03,4.5933
101,2003-09-04,4.5034
102,2003-09-05,4.3474
103,2003-09-08,4.4262
104,2003-09-09,4.3552
105,2003-09-10,4.2711
106,2003-09-11,4.3141
107,2003-09-12,4.2516
108,2003-09-15,4.2671
109,2003-09-16,4.2749
110,2003-09-17,4.1777
111,2003-09-18,4.1622
112,2003-09-19,4.1602
113,2003-09-22,4.2164
114,2003-09-23,4.2047
115,2003-09-24,4.1331
116,2003-09-25,4.081
117,2003-09-26,4.0005
118,2003-09-29,4.0751
119,2003-09-30,3.9376
120,2003-10-01,3.9318
121,2003-10-02,3.9926
122,2003-10-03,4.1987
123,2003-10-06,4.1695
124,2003-10-07,4.2573
125,2003-10-08,4.2357
126,2003-10-09,4.2906
127,2003-10-10,4.269
128,2003-10-13,4.2513
129,2003-10-14,4.3439
130,2003-10-15,4.3974
131,2003-10-16,4.4593
132,2003-10-17,4.3876
133,2003-10-20,4.3817
134,2003-10-21,4.342
135,2003-10-22,4.2513
136,2003-10-23,4.3163
137,2003-10-24,4.2297
138,2003-10-27,4.2592
139,2003-10-28,4.1768
140,2003-10-29,4.2946
141,2003-10-30,4.3422
